rank,item_id,name,era,level,type,category,cost_min_eur,cost_mid_eur,cost_max_eur,cost_basis,cost_score,absurdity_score,waste_purity,waste_priority,confidence,pain_tax_fte,pain_net_years,pain_eur_per_employee,pain_work_minutes,sources_brief,one_liner,notes
1,hw_charleroi_mlc,"Charleroi light metro — half-built network, ghost branches",1970s–2020s,Wallonia,infrastructure,ghost_infra,500000000,1500000000,3000000000,Decades of construction; Châtelet branch unused for years; total historical cost poorly consolidated publicly — range wide,9.5,9.5,9.0,9.38,weak,77319.6,50847.5,309.28,634.34,Wikipedia MLC; Defossé GTI; RTBF JTI; TEC history,"Eight arms planned, ghost tunnels for decades — waffle-iron metro politics in concrete.",Parts now useful; pure waste is unused segments + time-value.
2,hw_waffle_iron_legacy,Waffle-iron politics legacy capex (post-war compensatory spending pattern),1950s–1980s,federal,fiscal_architecture,institutions,10000000000,30000000000,80000000000,Historical pattern of compensatory public works across communities; many GTI entries are symptoms — Weak aggregate,9.5,9.0,8.0,8.97,weak,1546391.8,1016949.2,6185.57,12686.79,Political science literature on waffle-iron; Defossé corpus as symptoms,You get a tunnel because they got a bridge — Belgium’s original fiscal algorithm.,Meta-entry explaining many ghost works.
3,hw_cheque_economy_decade,Meal/eco/cheque parafiscal restricted-scrip economy (multi-year),2015–2025,federal,tax_expenditure,structural_fiscal,8000000000,11000000000,15000000000,CoA ~€1.07bn private parafiscal meal class 2024 × ~10y; eco/other cheques add opacity,9.5,9.0,8.0,8.97,strong,567010.3,372881.4,2268.04,4651.82,Rekenhof DOC 56 0785/004; DOGE lb_cheque_economy,Wage compensation you can only spend at the right merchant — middlemen love it.,Steelman: purchasing power + compliance culture; waste is admin sandwich + distortion.
4,hw_metro3_bru,Brussels Metro line 3 — +hundreds-% budget path / freeze,2009–2020s,Brussels,infrastructure,transport_capex,3000000000,4760000000,5500000000,Court of Audit / press path from <€1bn class to ~€4.76bn total; +477% cited in governance summaries; project frozen/partially redesigned,9.5,9.0,8.0,8.97,strong,245360.8,161355.9,981.44,2012.97,Cour des comptes Metro 3; Brussels Times; governance.brussels dossier,A north–south metro that spent like a moonshot before a single full line ran.,Ridership need is steelman; delivery failure is the waste.
5,hw_smeerpijp,Smeerpijp (Limburg–Antwerp industrial sewer never used),1960s–1970s,Flanders,infrastructure,ghost_infra,30000000,100000000,300000000,107 km dual pipe never commissioned; era cost unknown — Weak rebased €,7.5,10.0,10.0,8.88,weak,5154.6,3389.8,20.62,42.29,Defossé; RTBF JTI Smeerpijp 1991,A 107 km pollution pipe that never carried a drop — purity score: perfect 10.,Possibly the purest boondoggle on the list.
6,hw_company_cars_fuel_cards,Fuel cards PIT+SSC tax expenditure (multi-year with company cars),2015–2025,federal,tax_expenditure,structural_fiscal,4000000000,7000000000,10000000000,FFS fuel cards ~€0.66bn 2024 × ~10y; stacks with company cars,9.5,8.5,8.0,8.82,strong,360824.7,237288.1,1443.30,2960.25,FPS FFS; DOGE lb_fuel_cards,Free fuel as wage — congestion externality included free of charge.,Companion to company-car package.
7,hw_solar_pv_vl_boom,Flanders residential PV over-subsidy boom (certificates era),2009–2015,Flanders,subsidy,energy_policy,2000000000,4000000000,8000000000,Subset of GSC story focused on residential boom overcompensation; overlaps hw_gsc_vl_decade — do not full-sum,9.5,8.5,8.0,8.82,medium,206185.6,135593.2,824.74,1691.57,VREG historical certificate prices; Court of Audit,Rooftop gold rush with guaranteed certificates — non-PV households paid.,Overlaps GSC row; ranking uses this as highlight chapter.
8,hw_wal_pv_certificates,Walloon PV / green certificate overcompensation path,2008–2018,Wallonia,subsidy,energy_policy,1500000000,3000000000,6000000000,CWAPE/CWaPE certificate burdens; multi-year household bill impact — Medium,9.5,8.5,8.0,8.82,medium,154639.2,101694.9,618.56,1268.68,CWaPE reports; WAL energy policy reviews,"Same movie as Flanders, French-speaking soundtrack, same bill on the meter.",Design twin of VL boom.
9,hw_housing_supply_block,Housing supply blocks + compensatory subsidies (policy package),1990s–2020s,multi,regulation+subsidy,housing,10000000000,30000000000,80000000000,Scarcity rents + subsidy bill; counterfactual YIMBY savings speculative — Weak,9.5,9.0,7.0,8.72,weak,1546391.8,1016949.2,6185.57,12686.79,DOGE seed board; regional housing plans,"Cause the shortage, then subsidise the victims of the shortage.",Mechanism classic; € highly model-dependent.
10,hw_union_unemp_admin,Union unemployment payment admin grants (multi-year),2015–2025,federal,subsidy,labour_market,1000000000,1700000000,2200000000,~€169m/yr class × 10y; middleman design,9.5,8.5,7.5,8.70,strong,87628.9,57627.1,350.52,718.92,DOGE lb_union_pay_admin_169m; middleman notes,Unions paid to pay unemployment — a Belgian special.,Steelman: proximity; waste is monopoly admin rent.
