history_id,proposal_id,analysis_version,clownpoints,genius_score,policy_index,score_confidence,changed_reason,recorded_utc
hist_prop_2025_unemp_time_limit_v1,prop_2025_unemp_time_limit,1,2.0,7.5,5.5,medium,initial_calibration_batch,2026-07-27T12:34:31Z
hist_prop_2025_cgt_capital_gains_v1,prop_2025_cgt_capital_gains,1,4.5,4.0,-0.5,medium,initial_calibration_batch,2026-07-27T12:34:31Z
hist_prop_2026_centenindex_v1,prop_2026_centenindex,1,3.0,6.0,3.0,medium,initial_calibration_batch,2026-07-27T12:34:31Z
hist_prop_2021_company_car_ice_2026_v1,prop_2021_company_car_ice_2026,1,1.5,7.0,5.5,strong,initial_calibration_batch,2026-07-27T12:34:31Z
hist_prop_2025_hybrid_car_rehab_v1,prop_2025_hybrid_car_rehab,1,6.5,3.0,-3.5,medium,initial_calibration_batch,2026-07-27T12:34:31Z
hist_prop_2026_vl_syntra_49m_v1,prop_2026_vl_syntra_49m,1,4.0,4.5,0.5,medium,initial_calibration_batch,2026-07-27T12:34:31Z
hist_prop_2026_wk_veldrijden_ostend_v1,prop_2026_wk_veldrijden_ostend,1,7.0,2.0,-5.0,strong,initial_calibration_batch,2026-07-27T12:34:31Z
hist_prop_2022_smaakhaven_38m_v1,prop_2022_smaakhaven_38m,1,8.0,1.5,-6.5,strong,initial_calibration_batch,2026-07-27T12:34:31Z
hist_prop_2026_dolphin_ban_2036_v1,prop_2026_dolphin_ban_2036,1,3.5,3.5,0.0,medium,initial_calibration_batch,2026-07-27T12:34:31Z
hist_prop_2026_fwb_budget_cuts_255m_v1,prop_2026_fwb_budget_cuts_255m,1,3.5,5.0,1.5,medium,initial_calibration_batch,2026-07-27T12:34:31Z
hist_prop_2022_smaakhaven_38m_v2,prop_2022_smaakhaven_38m,2,8.0,1.5,-6.5,strong,memo_deepened_ambition_ROI_factcheck_scores_unchanged,2026-07-27T13:04:08Z
hist_prop_2025_unemp_time_limit_v2_pain,prop_2025_unemp_time_limit,2,2.0,7.5,5.5,medium,deep_memo_v2_and_or_taxpayer_pain,2026-07-27T13:21:48Z
hist_prop_2025_cgt_capital_gains_v2_pain,prop_2025_cgt_capital_gains,2,4.5,4.0,-0.5,medium,deep_memo_v2_and_or_taxpayer_pain,2026-07-27T13:21:48Z
hist_prop_2026_centenindex_v2_pain,prop_2026_centenindex,2,3.0,6.0,3.0,medium,deep_memo_v2_and_or_taxpayer_pain,2026-07-27T13:21:48Z
hist_prop_2021_company_car_ice_2026_v2_pain,prop_2021_company_car_ice_2026,2,1.5,7.0,5.5,strong,deep_memo_v2_and_or_taxpayer_pain,2026-07-27T13:21:48Z
hist_prop_2025_hybrid_car_rehab_v2_pain,prop_2025_hybrid_car_rehab,2,6.5,3.0,-3.5,medium,deep_memo_v2_and_or_taxpayer_pain,2026-07-27T13:21:48Z
hist_prop_2026_vl_syntra_49m_v2_pain,prop_2026_vl_syntra_49m,2,4.0,4.5,0.5,medium,deep_memo_v2_and_or_taxpayer_pain,2026-07-27T13:21:48Z
hist_prop_2026_wk_veldrijden_ostend_v2_pain,prop_2026_wk_veldrijden_ostend,2,7.0,2.0,-5.0,strong,deep_memo_v2_and_or_taxpayer_pain,2026-07-27T13:21:48Z
hist_prop_2022_smaakhaven_38m_v2_pain,prop_2022_smaakhaven_38m,2,8.0,1.5,-6.5,strong,deep_memo_v2_and_or_taxpayer_pain,2026-07-27T13:21:48Z
hist_prop_2026_dolphin_ban_2036_v2_pain,prop_2026_dolphin_ban_2036,2,3.5,3.5,0.0,medium,deep_memo_v2_and_or_taxpayer_pain,2026-07-27T13:21:48Z
hist_prop_2026_fwb_budget_cuts_255m_v2_pain,prop_2026_fwb_budget_cuts_255m,2,3.5,5.0,1.5,medium,deep_memo_v2_and_or_taxpayer_pain,2026-07-27T13:21:48Z
hist_prop_2026_volvo_gent_119m_v1,prop_2026_volvo_gent_119m,1,5.5,3.5,-2.0,medium,initial_thorough_fair_analysis,2026-07-27T18:09:36Z
hist_prop_2026_energy_commute_taxcredit_80m_v1,prop_2026_energy_commute_taxcredit_80m,1,6.5,3.0,-3.5,medium,initial_score_ex_post_takeup,2026-07-28T14:30:00Z
hist_prop_2026_jambon_antifraud_300m_v1,prop_2026_jambon_antifraud_300m,1,6.0,4.0,-2.0,medium,initial_score_plan_delayed,2026-07-29T14:30:00Z
hist_prop_2026_vanbossuyt_return_reintegration_v1,prop_2026_vanbossuyt_return_reintegration,1,3.0,6.5,3.5,medium,initial_score_fedasil_primary,2026-07-30T14:30:00Z
