proposal_id,title,title_nl,summary_one_line,actor_name,actor_role,party_or_coalition,jurisdiction,competence_notes,instrument_type,status,first_seen_date,decision_date,stated_goal,mechanism_tag,fiscal_static_min_eur,fiscal_static_max_eur,fiscal_basis,fiscal_confidence,fiscal_is_saving,pain_basis_eur,pain_tax_fte,pain_net_years,pain_eur_per_employee,pain_work_minutes,pain_note,clownpoints,genius_score,policy_index,truth_problem,mechanism_fit,abundance_ev,fiscal_honesty,incentive_quality,competence_fit,evidence_quality,capture_risk,score_confidence,analysis_version,analysis_path,primary_source_id,doge_item_ids,parent_proposal_id,recommendation,falsifier,publish_ok,created_utc,updated_utc,notes
prop_2025_unemp_time_limit,Time-limit unemployment benefits (Arizona),Werkloosheidsuitkering in de tijd beperken,Cap duration of UI to raise job search intensity and cut structural non-employment cost.,Federal government De Wever I,government,"Arizona (N-VA, CD&V, Vooruit, MR, Les Engagés)",federal,Social security / labour market federal,law,implemented,2025-01-31,2025-02-01,Raise employment rate; curb open-ended UI cost,incentive_duration|activation,,,unknown,weak,,,,,,,saving uncertain; pain blank,2.0,7.5,5.5,8.5,8.0,7.5,5.5,8.5,9.0,7.0,3.0,medium,2,analyses/prop_2025_unemp_time_limit.md,src_ing_consol_2026,,,support,We reverse if employment exit rates of long-term unemployed do not rise within 3 years while OCMW/CPAS caseloads absorb savings 1:1 without activation gain.,yes,2026-07-27T12:34:31Z,2026-07-27T13:21:48Z,ING/CoA: gov assumes ~1/3 find work at end of entitlement; short-run may shift to other assistance. Structural direction correct; book static savings cautiously.
prop_2025_cgt_capital_gains,Introduce capital gains tax (Arizona),Invoering meerwaardebelasting,Tax capital gains to raise revenue and rebalance tax mix away from labour.,Federal government De Wever I,government,Arizona,federal,Federal personal/corporate tax,tax,adopted,2025-01-31,2025-02-01,Fiscal consolidation + fairness vs labour taxation,tax_base|incidence,,,annual,weak,,,,,,,revenue instrument; pain blank until outturn,4.5,4.0,-0.5,7.0,5.0,4.0,3.5,4.0,8.0,5.5,5.0,medium,2,analyses/prop_2025_cgt_capital_gains.md,src_ing_consol_2026,,,amend,We reverse toward support if a simple broad CGT with low rate and few exemptions raises predicted revenue within 10% for 2 consecutive years without measurable exit of mobile capital (Medium evidence bar).,yes,2026-07-27T12:34:31Z,2026-07-27T13:21:48Z,ING: complex 'camel' design; CoA doubts yield. Principle of taxing capital income can be right; execution risk is the score drag.
prop_2026_centenindex,Centenindex: temporary limit on automatic wage/pension indexation,Centenindex — tijdelijke indexbeperking,Temporarily cap automatic indexation (2026/2028 phases) to slow wage-price spiral and cut public wage bill.,Federal programme law + Flemish implementation,government,Arizona + Flanders execution,multi,Federal law; regions implement for own staff,law,adopted,2026-05-30,2026-06-01,Wage moderation; public finance consolidation,indexation|nominal_anchor,,,annual,medium,,,,,,,public bill saving unquantified in sources,3.0,6.0,3.0,7.5,7.0,6.0,6.0,5.5,8.0,6.5,4.0,medium,2,analyses/prop_2026_centenindex.md,src_vl_mr_20260717,,,amend,Reverse if real wage collapse for low earners exceeds inflation-protection goal without deficit improvement vs counterfactual within 2 years.,yes,2026-07-27T12:34:31Z,2026-07-27T13:21:48Z,Programmawet 30 May 2026; Flanders VPS alignment on agenda 17 Jul 2026. Temporary partial freeze is more honest than fake dynamic growth assumptions; distributional design matters.
prop_2021_company_car_ice_2026,Phase-out tax deductibility of fossil company cars from 2026,Einde aftrek fossiele bedrijfswagens vanaf 2026,Remove corporate tax deductibility for new ICE/hybrid company cars; keep path for zero-emission fleet greening.,Federal legislator (2021 greening law),government,prior federal majority; still binding 2026,federal,Federal corporate tax + mobility fiscality,tax,implemented,2021-11-25,2021-11-25,Electrify fleet; cut CO2 and large company-car tax expenditure,tax_expenditure|externality,500000000,1200000000,annual,medium,yes,-850000000,-43814.4,-28813.6,-175.2577,-359.46,mid*sign; unit v2 tax=19400 net=29500 Nemp=4850000 min/yr=100320 eur/min=0.4876,1.5,7.0,5.5,9.0,8.0,6.5,7.0,7.5,9.0,8.0,4.0,strong,2,analyses/prop_2021_company_car_ice_2026.md,src_fpb_company_cars,,,support,Reverse if net fiscal + second-hand EV access effects are negative and congestion/externalities worsen vs counterfactual by 2029 (FPB-style evaluation).,yes,2026-07-27T12:34:31Z,2026-07-27T13:21:48Z,Law 25 Nov 2021; FPB ex-ante ~€1bn class net revenue improvement from 2026. Still live policy surface in 2026. Residual clown risk: EV deductibility still a soft subsidy for high earners.
prop_2025_hybrid_car_rehab,Arizona soft rehab of hybrid company-car deductibility,Gedeeltelijk herstel hybride-aftrek bedrijfswagens,Extend/soften hybrid deductibility path (75% then step-down) vs pure 2026 ICE cliff.,Federal government De Wever I,government,Arizona,federal,Federal tax,tax,announced,2025-02-01,2025-02-01,Practical transition; industry/employee bridge to EV,tax_expenditure|lobby_soften,,,annual,weak,,,,,,,foregone saving unknown,6.5,3.0,-3.5,5.0,3.5,3.0,4.0,2.5,8.0,5.0,7.5,medium,2,analyses/prop_2025_hybrid_car_rehab.md,src_vialto_arizona_hybrid,,prop_2021_company_car_ice_2026,reject,Support if independent evaluation shows hybrid path cuts TE cost and emissions faster than pure EV cliff without rebound ICE-like use (unlikely bar).,yes,2026-07-27T12:34:31Z,2026-07-27T13:21:48Z,Undoes part of a rare good TE reform under lobby/transition rhetoric. Classic capture risk.
prop_2026_vl_syntra_49m,Flanders Syntrum/Syntra funding €49.7m (2026-27 transition year),"Syntrum/Syntra financiering 49,7 mio",Continue entrepreneurship training network funding while reforming governance/central steering.,Matthias Diependaele / Vlaamse Regering,minister,Flemish government,flanders,Education/training regional,subsidy,adopted,2026-07-17,2026-07-17,Quality entrepreneurship training; network reform,training_subsidy|agency,49700000,49700000,one_off,strong,no,49700000,2561.9,1684.7,10.2474,21.02,mid*sign; unit v2 tax=19400 net=29500 Nemp=4850000 min/yr=100320 eur/min=0.4876,4.0,4.5,0.5,5.5,5.0,4.5,7.5,4.5,8.0,6.0,6.0,medium,2,analyses/prop_2026_vl_syntra_49m.md,src_vl_mr_20260717,,,watch,Support more strongly if reform publishes unit-cost + placement outcomes and cuts permanent overhead 15%+ by 2028.,yes,2026-07-27T12:34:31Z,2026-07-27T13:21:48Z,Primary: Belga Share VL ministerraad 17 Jul 2026. Transition year with reform narrative — score neutral until outcomes published.
prop_2026_wk_veldrijden_ostend,Project subsidy max €350k for 2027 CX World Championships Ostend,Projectsubsidie WK veldrijden Oostende 2027,Qualify UCI CX Worlds as Flemish top event; grant ≤€350k to Flanders Classics.,Diependaele / Depraetere / De Ridder,minister,Flemish government,flanders,Tourism/sport regional,subsidy,adopted,2026-07-17,2026-07-17,Top sporting event; tourism/image,event_subsidy|prestige,350000,350000,one_off,strong,no,350000,18.0,11.9,0.0722,0.15,mid*sign; unit v2 tax=19400 net=29500 Nemp=4850000 min/yr=100320 eur/min=0.4876,7.0,2.0,-5.0,3.0,2.5,2.0,8.0,2.0,7.0,6.5,7.0,strong,2,analyses/prop_2026_wk_veldrijden_ostend.md,src_vl_mr_20260717,,,reject,Support if independent ex-post shows net tax revenue > grant + congestion costs with additionality (event would not occur privately).,yes,2026-07-27T12:34:31Z,2026-07-27T13:21:48Z,Classic prestige sports subsidy. Amount small vs budget; principle and capture matter for clownpoints.
prop_2022_smaakhaven_38m,Smaakhaven (Vlaams Culinair Centrum) — €38m relance subsidy trail,Smaakhaven Antwerpen — 38 mio relance,Large tourism/gastronomy experience centre funded from relance; 2026 erfpacht continuation.,Flemish government / Toerisme Vlaanderen / City of Antwerp,government,Flanders multi-legislature,flanders,Tourism / local partnership,subsidy,implemented,2022-12-01,2026-07-17,Culinary innovation hub; international food brand,prestige_infra|tourism_subsidy,38000000,38000000,multi_year_envelope,strong,no,38000000,1958.8,1288.1,7.8351,16.07,mid*sign; unit v2 tax=19400 net=29500 Nemp=4850000 min/yr=100320 eur/min=0.4876,8.0,1.5,-6.5,2.5,2.0,1.5,6.5,1.5,6.0,7.0,8.0,strong,2,analyses/prop_2022_smaakhaven_38m.md,src_smaakhaven_ambitie,,,reject,Reverse if audited visitor TCO and private ROIC beat alternative uses of €38m (housing/tax cut) by 2029.,yes,2026-07-27T12:34:31Z,2026-07-27T13:21:48Z,v2 deep ambition/ROI memo; scores held. Official ambition: promote/support/connect + Academy/Entertainment/Business; open ~2030; 38m relance; no public CBA/visitor KPIs on site.
prop_2026_dolphin_ban_2036,Ban keeping cetaceans in captivity by end-2036 (Flanders),Verbod walvisachtigen in gevangenschap tegen 2036,Phase out dolphinaria (Boudewijn Seapark class) with rehab exception for wild injured animals.,Ben Weyts / Vlaamse Regering,minister,Flemish government,flanders,Animal welfare community/region,ban,tabled,2026-07-17,2026-07-17,Animal welfare; end captivity stress,ban|preference,0,5000000,unknown,speculative,no,2500000,128.9,84.7,0.5155,1.06,mid*sign; unit v2 tax=19400 net=29500 Nemp=4850000 min/yr=100320 eur/min=0.4876,3.5,3.5,0.0,6.0,7.0,2.5,5.0,5.0,8.5,5.5,3.0,medium,2,analyses/prop_2026_dolphin_ban_2036.md,src_vl_mr_20260717,,,watch,Reject if welfare science shows managed captivity superior for existing animals and ban causes worse outcomes (export/kill).,yes,2026-07-27T12:34:31Z,2026-07-27T13:21:48Z,Preference/values policy more than abundance engine. Long phase-out (to 2036) reduces transition cruelty. Not fiscal core.
prop_2026_fwb_budget_cuts_255m,FWB 2026 budget: ~€255m savings package,FWB begroting 2026: ~255 mio besparingen,"Community budget consolidation touching education, culture, school meals; higher tuition signals in package debate.",Gouvernement Fédération Wallonie-Bruxelles,government,FWB government,fwb,Community education/culture,envelope,adopted,2025-12-17,2025-12-17,Control FWB deficit; multi-year path,spending_cut|package,255000000,255000000,annual,medium,yes,-255000000,-13144.3,-8644.1,-52.5773,-107.84,mid*sign; unit v2 tax=19400 net=29500 Nemp=4850000 min/yr=100320 eur/min=0.4876,3.5,5.0,1.5,8.0,5.5,5.0,6.0,5.0,8.0,5.5,5.0,medium,2,analyses/prop_2026_fwb_budget_cuts_255m.md,src_fwb_budget_2026_press,,,amend,Support more if cuts hit low-ROI admin/culture middlemen first and protect high-ROI skills/STEM while deficit path hits published targets 2026-27.,yes,2026-07-27T12:34:31Z,2026-07-27T13:21:48Z,Press: €255m economies adopted Dec 2025. Package score — child measures differ; prefer cutting bureaucracy over pure human-capital thinning.
